iter	RMSE
0	0.7748090724
1	0.7700819388
2	0.7654274929
3	0.7613374919
4	0.75740545
5	0.7535440051
6	0.7497358329
7	0.7461018547
8	0.7427651933
9	0.7389288423
10	0.7361695606
11	0.7334136963
12	0.7309105643
13	0.7288818944
14	0.7266146118
15	0.7238247421
16	0.7212804169
17	0.7189650675
18	0.7168460644
19	0.7141062032
20	0.7116538601
21	0.7104257548
22	0.7090558821
23	0.7072730693
24	0.7055643412
25	0.7029513528
26	0.7013866072
27	0.6990731742
28	0.6966840953
29	0.6945379307
30	0.6929870488
31	0.6912499318
32	0.6897675512
33	0.6881228104
34	0.6864241944
35	0.6847107679
36	0.6828283506
37	0.6817659184
38	0.6806040494
39	0.6792541397
40	0.6776603841
41	0.6767348494
42	0.6756169968
43	0.6746437771
44	0.6735679866
45	0.672282761
46	0.6711896567
47	0.6699529903
48	0.6697479963
49	0.6685174968
50	0.6677824031
51	0.6663371281
52	0.6648974119
53	0.6641534536
54	0.6633515786
55	0.6624493609
56	0.6617149403
57	0.6614279415
58	0.6606006458
59	0.6595352878
60	0.6587553687
61	0.6581541297
62	0.6575885578
63	0.6565297723
64	0.6557931618
65	0.654566655
66	0.6531068221
67	0.6522032784
68	0.6517877966
69	0.6513468963
70	0.6505486589
71	0.6502919555
72	0.64928744
73	0.6481670111
74	0.6471027136
75	0.64601372
76	0.6450956035
77	0.6442788211
78	0.6439282946
79	0.6426895033
80	0.6415004054
81	0.6403980784
82	0.6392086142
83	0.6382600386
84	0.637560228
85	0.6374354294
86	0.6372081498
87	0.6362197379
88	0.6356022531
89	0.6353385765
90	0.6349510294
91	0.6334860039
92	0.632607614
93	0.6325008725
94	0.6315331836
95	0.6301968077
96	0.6292672035
97	0.6290374035
98	0.6277388467
99	0.6272703538
100	0.6268995026
101	0.6265795297
102	0.6256226716
103	0.624902322
104	0.6239290128
105	0.6233364487
106	0.6231053679
107	0.6223678907
108	0.6220215194
109	0.6210045275
110	0.6199951424
111	0.6194412506
112	0.6189671315
113	0.6184563158
114	0.6179779274
115	0.6172816526
116	0.6165564436
117	0.6159572561
118	0.6150919686
119	0.6145436143
120	0.6141925559
121	0.6132852257
122	0.6125538203
123	0.6121110183
124	0.6116015822
125	0.6105213736
126	0.6104048012
127	0.6099123449
128	0.6094583522
129	0.6087755727
130	0.6083027513
131	0.6081114234
132	0.6073543582
133	0.605878026
134	0.6055885805
135	0.6050536513
136	0.6046956586
137	0.6039783628
138	0.6037032825
139	0.6033087904
140	0.6025365494
141	0.6018974207
142	0.6012943808
143	0.6002503901
144	0.5999744969
145	0.5995771284
146	0.5992624544
147	0.5987437136
148	0.5984771897
149	0.5969576431
150	0.5964793553
151	0.595961029
152	0.595066963
153	0.5942279676
154	0.5930687074
155	0.5923565698
156	0.5918312155
157	0.5909341471
158	0.5901338684
159	0.5889069842
160	0.5876936465
161	0.5867608658
162	0.5858698391
163	0.5854789571
164	0.5852943564
165	0.5846419412
166	0.583389028
167	0.5828170669
168	0.5824954065
169	0.581877242
170	0.5807295833
171	0.5804066438
172	0.5798870389
173	0.5790401036
174	0.5784812021
175	0.5779221366
176	0.577416509
177	0.5770348172
178	0.5760513297
179	0.575073747
180	0.5744401195
181	0.5739011074
182	0.5734074945
183	0.5731874636
184	0.5727811303
185	0.572143227
186	0.5715874193
187	0.5715616972
188	0.5710835138
189	0.5696863742
190	0.5693298188
191	0.569017999
192	0.5683834295
193	0.5669549397
194	0.5659142051
195	0.5650524747
196	0.5648969009
197	0.5641705089
198	0.5632531798
199	0.5627167456
200	0.5625042525
201	0.5612484919
202	0.561153498
203	0.560254994
204	0.5597451063
205	0.5595547324
206	0.5590477576
207	0.5586164487
208	0.5576427081
209	0.5574849523
210	0.5570934262
211	0.5565414875
212	0.5562204654
213	0.5552609766
214	0.554586431
215	0.5532877652
216	0.5531498669
217	0.5515139278
218	0.5507823986
219	0.5507549029
220	0.5500484626
221	0.5495981082
222	0.5494397083
223	0.5493110308
224	0.5491557212
225	0.5488813643
226	0.5478008912
227	0.5469414377
228	0.546680831
229	0.5461353653
230	0.5456969305
231	0.5446537515
232	0.5440159364
233	0.5435666238
234	0.543085503
235	0.542911258
236	0.5427634313
237	0.5425626679
238	0.541560204
239	0.5414763594
240	0.5414081978
241	0.5409708748
242	0.540490717
243	0.5399753862
244	0.5395949212
245	0.5394663504
246	0.5392467378
247	0.5392207654
248	0.53915641
249	0.5387302488
250	0.5386432879
251	0.5382162035
252	0.5376177693
