iter	Passed	Remaining
0	3	6322
1	6	6829
2	10	6758
3	13	6684
4	16	6602
5	19	6592
6	24	6915
7	28	7061
8	31	7067
9	35	7036
10	38	7045
11	42	7006
12	45	6981
13	48	6905
14	54	7205
15	61	7657
16	65	7606
17	68	7581
18	72	7540
19	75	7487
20	79	7480
21	82	7438
22	85	7317
23	88	7294
24	91	7255
25	95	7231
26	98	7208
27	102	7187
28	105	7169
29	108	7135
30	111	7103
31	115	7116
32	120	7179
33	125	7271
34	130	7330
35	136	7425
36	140	7429
37	144	7444
38	150	7572
39	154	7562
40	161	7696
41	167	7823
42	174	7958
43	179	7983
44	185	8044
45	190	8102
46	194	8081
47	201	8190
48	204	8132
49	213	8330
50	218	8344
51	221	8291
52	224	8248
53	225	8139
54	230	8138
55	233	8090
56	235	8043
57	236	7931
58	240	7896
59	243	7866
60	246	7838
61	247	7749
62	253	7779
63	257	7774
64	260	7751
65	263	7727
66	266	7702
67	270	7680
68	273	7657
69	277	7637
70	280	7610
71	281	7532
72	286	7558
73	290	7567
74	293	7543
75	297	7527
76	300	7503
77	303	7481
78	307	7466
79	314	7545
80	317	7521
81	320	7498
82	323	7476
83	326	7454
84	330	7435
85	333	7412
86	335	7369
87	338	7347
88	341	7326
89	342	7265
90	345	7245
91	348	7229
92	351	7211
93	354	7194
94	357	7176
95	360	7158
96	364	7142
97	367	7125
98	370	7109
99	373	7092
100	376	7077
101	377	7025
102	380	7013
103	384	7001
104	387	6988
105	390	6974
106	393	6959
107	396	6944
108	399	6931
109	402	6919
110	405	6907
111	411	6928
112	415	6933
113	421	6979
114	426	6987
115	435	7073
116	439	7073
117	442	7065
118	446	7054
119	449	7042
120	452	7031
121	456	7023
122	459	7010
123	462	7001
124	466	6991
125	469	6984
126	471	6958
127	477	6977
128	480	6972
129	484	6964
130	490	6991
131	492	6976
132	495	6960
133	498	6947
134	501	6931
135	504	6915
136	507	6900
137	510	6889
138	512	6865
139	516	6861
140	520	6858
141	523	6843
142	527	6850
143	530	6842
144	534	6843
145	537	6828
146	540	6815
147	544	6817
148	547	6804
149	550	6790
150	553	6779
151	556	6769
152	559	6756
153	562	6744
154	574	6843
155	582	6889
156	587	6898
157	591	6896
158	595	6895
159	599	6892
160	608	6952
161	620	7041
162	629	7089
163	636	7127
164	645	7177
165	651	7193
166	657	7217
167	661	7208
168	664	7196
169	667	7187
170	671	7177
171	674	7166
172	677	7156
173	681	7146
174	684	7139
175	689	7144
176	694	7153
177	697	7142
178	701	7133
179	704	7122
180	707	7115
181	712	7114
182	715	7105
183	718	7092
184	722	7088
185	726	7084
186	729	7070
187	732	7056
188	735	7043
189	738	7030
190	741	7018
191	743	7005
192	747	7000
193	752	7004
194	755	6994
195	758	6983
196	761	6971
197	764	6960
198	767	6948
199	770	6936
200	773	6926
201	779	6938
202	783	6932
203	786	6920
204	788	6907
205	791	6895
206	794	6885
207	797	6873
208	801	6864
209	804	6854
210	807	6845
211	810	6836
212	813	6828
213	817	6819
214	820	6808
215	822	6797
216	826	6788
217	829	6779
218	832	6767
219	835	6757
220	838	6749
221	841	6741
222	844	6729
223	847	6720
224	850	6712
225	853	6703
226	856	6692
227	859	6682
228	863	6677
229	867	6679
230	871	6671
231	874	6662
232	877	6653
233	880	6645
234	883	6636
235	886	6628
236	889	6619
237	892	6608
238	895	6599
239	898	6590
240	901	6580
241	904	6571
242	907	6562
243	910	6555
244	913	6546
245	916	6536
246	919	6528
247	922	6519
248	925	6511
249	929	6504
250	932	6494
251	935	6485
252	938	6478
253	941	6469
254	944	6461
255	947	6452
256	950	6444
257	953	6435
258	955	6425
259	958	6417
260	963	6419
261	969	6433
262	973	6426
263	975	6417
264	978	6408
265	981	6399
266	984	6390
267	987	6383
268	990	6375
269	993	6367
270	997	6361
271	1000	6354
272	1003	6346
273	1006	6339
274	1009	6333
275	1012	6324
276	1015	6316
277	1018	6307
278	1021	6299
279	1024	6292
280	1027	6285
281	1030	6276
282	1035	6282
283	1041	6293
284	1046	6295
285	1050	6294
286	1054	6292
287	1057	6287
288	1060	6280
289	1063	6272
290	1067	6266
291	1070	6259
292	1072	6250
293	1079	6265
294	1086	6280
295	1091	6283
296	1096	6285
297	1099	6281
298	1103	6276
299	1106	6267
300	1110	6266
301	1114	6266
302	1117	6259
303	1120	6251
304	1123	6243
305	1126	6237
