iter	GammaRMSEMetric
0	3.211822815
1	3.203682102
2	3.195604331
3	3.187864031
4	3.180075844
5	3.172305053
6	3.164071581
7	3.155677982
8	3.148061766
9	3.140608365
10	3.13326429
11	3.124997776
12	3.117642122
13	3.109251412
14	3.101682204
15	3.094733594
16	3.087326018
17	3.079196061
18	3.071332148
19	3.063093117
20	3.056088848
21	3.049176608
22	3.041896079
23	3.034833274
24	3.027034186
25	3.019404068
26	3.012358553
27	3.005370584
28	2.998819299
29	2.991917612
30	2.985367833
31	2.978353378
32	2.971765585
33	2.965950186
34	2.960151526
35	2.953943415
36	2.948311699
37	2.941241266
38	2.935356357
39	2.930252648
40	2.923182547
41	2.917836046
42	2.912140865
43	2.906376234
44	2.899828465
45	2.894572071
46	2.888400235
47	2.882235061
48	2.876114294
49	2.869860085
50	2.862846628
51	2.857887984
52	2.851362061
53	2.847081027
54	2.841460751
55	2.83644191
56	2.830691171
57	2.824903895
58	2.820142169
59	2.814664959
60	2.808960285
61	2.803478699
62	2.800113133
63	2.795651868
64	2.790198875
65	2.785332551
66	2.780684211
67	2.775195869
68	2.771838725
69	2.766679709
70	2.763096962
71	2.76000626
72	2.755057597
73	2.751357206
74	2.747670503
75	2.744530734
76	2.740104545
77	2.736084286
78	2.732101481
79	2.726877688
80	2.723016521
81	2.720323273
82	2.716572996
83	2.711586377
84	2.708045626
85	2.703263731
86	2.69990557
87	2.695916487
88	2.692433268
89	2.68983152
90	2.686391672
91	2.683240679
92	2.680180215
93	2.67690969
94	2.673873152
95	2.67010004
96	2.666886318
97	2.663971835
98	2.660625243
99	2.658205111
100	2.654390901
101	2.651923592
102	2.650038089
103	2.647113643
104	2.643845801
105	2.641175908
106	2.638785146
107	2.634708864
108	2.630233886
109	2.627056446
110	2.62496993
111	2.6219146
112	2.617540818
113	2.61517242
114	2.612336853
115	2.609789463
116	2.606531756
117	2.60347013
118	2.600703747
119	2.597772129
120	2.594591875
121	2.592824279
122	2.589633213
123	2.587913876
124	2.586496677
125	2.584109316
126	2.580468423
127	2.577721465
128	2.574399167
129	2.571634003
130	2.5690485
131	2.56586261
132	2.565232758
133	2.562422905
134	2.560067266
135	2.558091549
136	2.556129383
137	2.55493368
138	2.552683353
139	2.551786158
140	2.5494378
141	2.547437099
142	2.545865716
143	2.544538026
144	2.541991306
145	2.539392323
146	2.536519654
147	2.53420599
148	2.531608461
149	2.529805149
150	2.527541525
151	2.527235799
152	2.524689169
153	2.52372822
154	2.522755938
155	2.521604502
156	2.519547277
157	2.518021363
158	2.51534313
159	2.513869149
160	2.510684333
161	2.509032991
162	2.507012504
163	2.504885931
164	2.503524127
165	2.501774984
166	2.499439566
167	2.497071976
168	2.494255159
169	2.492192255
170	2.489737582
171	2.488676413
172	2.487707541
173	2.485767945
174	2.483079837
175	2.481497225
176	2.479824708
177	2.476859623
178	2.475443724
179	2.473334707
180	2.470323229
181	2.468394556
182	2.467182062
183	2.465754267
184	2.464518402
185	2.462867661
186	2.460795725
187	2.460004102
188	2.458651778
189	2.456333768
190	2.455815605
191	2.454792686
192	2.453449753
193	2.452131244
194	2.450607523
195	2.450451238
196	2.448666082
197	2.448696462
198	2.44748847
199	2.446953496
200	2.445692204
201	2.444909578
202	2.442046421
203	2.441108037
204	2.439431402
205	2.438193004
206	2.437750085
207	2.435734717
208	2.433910393
209	2.431206839
210	2.428663157
211	2.428183245
212	2.427856974
213	2.426577066
214	2.425210631
215	2.423801926
216	2.422373685
217	2.419545345
218	2.417367628
219	2.415166919
220	2.41358255
221	2.413537101
222	2.412553498
223	2.411872903
224	2.411541355
225	2.411213948
226	2.411247534
227	2.410213698
228	2.409078563
229	2.40772837
230	2.407562363
231	2.406632376
232	2.405598911
233	2.403876411
234	2.40334159
235	2.401816246
236	2.39930654
237	2.399037853
238	2.396677801
239	2.394445598
240	2.393929125
241	2.393865706
242	2.391281663
243	2.389456666
244	2.388987555
245	2.387712067
