iter	Passed	Remaining
0	3	7538
1	7	7375
2	11	7359
3	14	7323
4	18	7302
5	21	7280
6	25	7362
7	29	7445
8	33	7412
9	37	7388
10	40	7357
11	46	7785
12	51	7939
13	55	7882
14	59	7828
15	62	7783
16	66	7788
17	70	7753
18	74	7719
19	77	7686
20	81	7656
21	84	7629
22	88	7619
23	92	7594
24	95	7573
25	99	7562
26	103	7543
27	106	7527
28	110	7515
29	114	7500
30	117	7484
31	121	7480
32	125	7464
33	128	7452
34	132	7438
35	136	7424
36	139	7418
37	143	7408
38	147	7400
39	150	7386
40	154	7374
41	157	7349
42	161	7344
43	164	7334
44	168	7325
45	172	7318
46	175	7308
47	180	7332
48	183	7325
49	187	7304
50	191	7305
51	196	7375
52	200	7365
53	204	7356
54	207	7345
55	211	7335
56	214	7327
57	218	7318
58	222	7309
59	225	7301
60	229	7292
61	233	7283
62	236	7274
63	240	7272
64	244	7263
65	247	7255
66	251	7247
67	254	7239
68	258	7231
69	261	7207
70	265	7203
71	270	7233
72	275	7260
73	278	7253
74	282	7246
75	285	7239
76	290	7251
77	296	7303
78	299	7294
79	303	7287
80	307	7280
81	311	7276
82	314	7267
83	318	7259
84	321	7253
85	326	7267
86	330	7270
87	334	7264
88	338	7259
89	341	7253
90	345	7246
91	349	7238
92	354	7265
93	357	7258
94	361	7250
95	365	7244
96	368	7237
97	372	7230
98	376	7223
99	379	7215
100	383	7208
101	386	7201
102	390	7192
103	394	7188
104	397	7181
105	401	7173
106	405	7165
107	408	7159
108	412	7154
109	421	7235
110	427	7277
111	431	7269
112	434	7262
113	438	7252
114	441	7244
115	445	7237
116	449	7229
117	452	7221
118	456	7214
119	460	7206
120	463	7199
121	468	7215
122	472	7207
123	475	7200
124	479	7193
125	483	7187
126	486	7180
127	490	7173
128	494	7166
129	497	7159
130	501	7151
131	504	7145
132	508	7138
133	512	7131
134	515	7124
135	519	7117
136	522	7110
137	526	7104
138	530	7097
139	533	7090
140	537	7083
141	540	7077
142	544	7070
143	548	7063
144	551	7056
145	555	7050
146	558	7043
147	562	7038
148	566	7032
149	569	7025
150	573	7018
151	576	7014
152	581	7020
153	585	7014
154	588	7007
155	594	7025
156	597	7019
157	601	7011
158	605	7005
159	608	6999
160	612	6993
161	615	6987
162	619	6982
163	623	6976
164	626	6970
165	630	6964
166	633	6957
167	638	6964
168	644	6987
169	648	6981
170	652	6975
171	655	6969
172	659	6964
173	666	6997
174	671	7003
175	675	6996
176	678	6991
177	682	6984
178	685	6975
179	689	6968
180	692	6961
181	696	6955
182	699	6949
183	703	6943
184	707	6938
185	710	6931
186	714	6925
187	717	6919
188	729	6986
189	737	7029
190	745	7061
191	753	7096
192	760	7117
193	766	7140
194	773	7161
195	780	7185
196	787	7206
197	794	7233
198	801	7255
199	808	7275
200	815	7297
201	822	7317
202	829	7340
203	836	7365
204	844	7392
205	850	7407
206	858	7433
207	865	7453
208	872	7478
209	879	7493
210	893	7573
211	915	7720
212	923	7750
213	931	7772
214	941	7817
215	950	7850
216	956	7861
217	963	7872
218	981	7980
219	985	7971
220	989	7962
221	995	7969
222	999	7966
223	1004	7963
224	1007	7951
225	1011	7941
226	1021	7974
227	1027	7986
228	1035	8005
229	1043	8028
230	1052	8056
231	1060	8081
232	1068	8100
233	1071	8088
234	1075	8076
235	1079	8065
236	1082	8053
237	1086	8041
238	1089	8029
239	1093	8018
240	1097	8006
241	1100	7995
242	1104	7983
243	1107	7972
244	1111	7960
245	1115	7951
246	1118	7940
247	1122	7928
248	1125	7917
249	1129	7906
250	1133	7896
251	1136	7885
252	1140	7874
253	1143	7863
254	1147	7855
255	1151	7845
256	1155	7834
257	1158	7823
258	1162	7813
259	1165	7803
260	1169	7792
261	1173	7782
262	1176	7772
263	1180	7761
264	1184	7751
265	1187	7741
266	1191	7731
267	1195	7723
268	1200	7722
269	1203	7712
270	1207	7702
271	1210	7692
272	1214	7683
273	1218	7673
274	1221	7663
275	1225	7653
276	1228	7644
277	1232	7634
278	1238	7639
279	1242	7629
280	1245	7620
281	1250	7617
282	1254	7608
283	1257	7599
284	1261	7589
285	1264	7580
286	1268	7571
287	1272	7561
288	1275	7553
289	1279	7544
290	1283	7535
291	1286	7526
292	1290	7517
293	1293	7508
294	1297	7499
295	1301	7490
296	1305	7484
297	1310	7484
298	1314	7475
299	1317	7466
300	1321	7457
301	1324	7449
302	1328	7440
303	1332	7431
304	1335	7422
305	1339	7413
306	1342	7405
307	1346	7396
308	1350	7388
309	1353	7380
310	1357	7371
311	1361	7363
312	1364	7355
313	1368	7347
314	1371	7338
315	1375	7330
316	1379	7321
317	1383	7315
318	1391	7330
319	1397	7337
320	1401	7329
321	1404	7321
322	1408	7313
323	1412	7305
324	1415	7297
325	1419	7289
326	1423	7281
327	1428	7282
328	1432	7274
329	1435	7266
330	1439	7258
331	1443	7251
332	1447	7243
333	1450	7235
334	1454	7227
335	1457	7219
336	1461	7211
337	1465	7203
338	1468	7195
339	1472	7188
340	1476	7181
341	1484	7194
342	1487	7186
343	1491	7178
344	1494	7171
345	1498	7163
346	1502	7155
347	1505	7147
348	1509	7140
349	1512	7132
350	1516	7124
351	1520	7119
352	1524	7112
353	1527	7104
354	1532	7102
355	1536	7095
356	1540	7087
357	1543	7080
358	1547	7072
359	1550	7064
360	1554	7057
361	1557	7049
362	1561	7041
363	1565	7034
364	1568	7026
365	1572	7019
366	1575	7011
367	1579	7004
368	1582	6996
369	1586	6989
