iter	GammaRMSEMetric
0	3.825674587
1	3.819508349
2	3.813184912
3	3.806734828
4	3.800214125
5	3.793825968
6	3.78729248
7	3.780800814
8	3.774396838
9	3.767837294
10	3.761210317
11	3.754638873
12	3.747953672
13	3.741334527
14	3.734719859
15	3.728021126
16	3.721353795
17	3.714620021
18	3.708076826
19	3.701377492
20	3.694784451
21	3.688133557
22	3.681385676
23	3.674677715
24	3.667971196
25	3.66117848
26	3.654545228
27	3.647934988
28	3.641237083
29	3.634430817
30	3.627655887
31	3.621039274
32	3.614505943
33	3.607814786
34	3.601053041
35	3.594224688
36	3.587426315
37	3.580888031
38	3.574392779
39	3.567846186
40	3.561033432
41	3.554442311
42	3.547684519
43	3.541099429
44	3.53442063
45	3.527574267
46	3.520745311
47	3.513980597
48	3.50746424
49	3.501055284
50	3.494547616
51	3.487923237
52	3.481422448
53	3.474885614
54	3.468335309
55	3.461806233
56	3.455250233
57	3.448559761
58	3.442091961
59	3.435722004
60	3.429237528
61	3.422787367
62	3.416337717
63	3.409978649
64	3.403525743
65	3.397051972
66	3.390829442
67	3.384834346
68	3.378389378
69	3.371988913
70	3.365624635
71	3.359336658
72	3.353378728
73	3.347083497
74	3.34085838
75	3.33477025
76	3.328671581
77	3.322471235
78	3.316493978
79	3.310542451
80	3.304356774
81	3.298438658
82	3.292542162
83	3.28687829
84	3.280878428
85	3.275127411
86	3.269476338
87	3.263907124
88	3.25849199
89	3.252760905
90	3.247263027
91	3.241434298
92	3.23563021
93	3.229870222
94	3.22425597
95	3.21865586
96	3.213396342
97	3.207927665
98	3.202742853
99	3.197282721
100	3.192118028
101	3.186933284
102	3.181455701
103	3.176512588
104	3.171488818
105	3.166829569
106	3.162076581
107	3.157065619
108	3.152190102
109	3.147461358
110	3.142812742
111	3.137798538
112	3.132962754
113	3.128183645
114	3.123024689
115	3.118150895
116	3.113592
117	3.109026467
118	3.104104326
119	3.099486968
120	3.095077072
121	3.090520704
122	3.086328737
123	3.081932437
124	3.077448514
125	3.072874297
126	3.068357316
127	3.064341261
128	3.05991517
129	3.055794623
130	3.051850836
131	3.047399561
132	3.043083478
133	3.038971422
134	3.034375255
135	3.029978762
136	3.025909792
137	3.021865747
138	3.017673219
139	3.013944102
140	3.009649909
141	3.005711352
142	3.002051932
143	2.997918228
144	2.994161212
145	2.990573957
146	2.986828365
147	2.983503697
148	2.979760256
149	2.976436992
150	2.972343361
151	2.968371346
152	2.964743695
153	2.960486364
154	2.95661418
155	2.953348761
156	2.949553803
157	2.946136563
158	2.942762968
159	2.938626295
160	2.935215957
161	2.931979511
162	2.928572634
163	2.925001668
164	2.921550687
165	2.918617964
166	2.915664292
167	2.912720053
168	2.909297125
169	2.905876192
170	2.902609211
171	2.899713757
172	2.896884249
173	2.894058864
174	2.89139922
175	2.888788495
