iter	Passed	Remaining
0	1372	2742672
1	1374	1372657
2	1375	915696
3	1379	688161
4	1380	551003
5	1386	460770
6	1387	395145
7	1389	345910
8	1390	307627
9	1391	277007
10	1393	251965
11	1397	231584
12	1401	214177
13	1403	199120
14	1405	185964
15	1406	174455
16	1408	164278
17	1409	155219
18	1410	147114
19	1412	139830
20	1413	133230
21	1415	127226
22	1416	121771
23	1417	116741
24	1419	112121
25	1420	107862
26	1422	103916
27	1424	100352
28	1426	96964
29	1429	93849
30	1431	90912
31	1433	88130
32	1434	85513
33	1436	83056
34	1437	80720
35	1440	78579
36	1442	76528
37	1445	74627
38	1448	72818
39	1451	71111
40	1453	69427
41	1455	67865
42	1457	66326
43	1458	64850
44	1460	63438
45	1461	62088
46	1463	60798
47	1464	59557
48	1466	58377
49	1467	57229
50	1469	56149
51	1470	55100
52	1472	54083
53	1473	53111
54	1475	52168
55	1476	51254
56	1478	50383
57	1479	49536
58	1481	48724
59	1482	47928
60	1483	47165
61	1485	46422
62	1486	45704
63	1487	45011
64	1489	44344
65	1490	43688
66	1493	43074
67	1494	42457
68	1496	41873
69	1497	41286
70	1498	40721
71	1500	40172
72	1503	39686
73	1506	39210
74	1509	38747
75	1512	38281
76	1515	37854
77	1517	37393
78	1519	36938
79	1521	36524
80	1524	36122
81	1526	35694
82	1527	35278
83	1528	34869
84	1530	34472
85	1531	34086
86	1533	33727
87	1535	33362
88	1537	33008
89	1538	32654
90	1540	32309
91	1541	31969
92	1542	31637
93	1544	31314
94	1547	31025
95	1548	30713
96	1551	30433
97	1553	30156
98	1555	29863
99	1556	29576
100	1559	29319
101	1562	29074
102	1563	28802
103	1565	28535
104	1566	28272
105	1567	28015
106	1569	27762
107	1570	27516
108	1571	27271
109	1573	27033
110	1574	26798
111	1576	26567
112	1577	26341
113	1578	26118
114	1580	25899
115	1581	25685
116	1582	25474
117	1584	25266
118	1587	25085
119	1591	24929
120	1594	24762
121	1597	24586
122	1600	24428
123	1604	24268
124	1607	24107
125	1608	23929
126	1612	23779
127	1614	23616
128	1616	23452
129	1618	23281
130	1620	23112
131	1621	22951
132	1623	22790
133	1624	22627
134	1626	22466
135	1627	22307
136	1628	22151
137	1630	21996
138	1631	21845
139	1632	21695
140	1634	21548
141	1635	21402
142	1637	21259
143	1638	21118
144	1639	20979
145	1641	20841
146	1642	20705
147	1644	20572
148	1645	20439
149	1646	20309
150	1648	20181
151	1649	20053
152	1650	19927
153	1652	19803
154	1653	19681
155	1654	19559
156	1656	19440
157	1657	19322
158	1658	19207
159	1660	19092
160	1661	18978
161	1662	18867
162	1664	18757
163	1665	18647
164	1669	18563
165	1672	18482
166	1678	18427
167	1680	18328
168	1688	18296
169	1692	18217
170	1697	18153
171	1698	18055
172	1700	17958
173	1702	17864
174	1725	17991
175	1728	17911
176	1732	17841
177	1734	17750
178	1738	17688
179	1746	17657
180	1751	17598
181	1756	17541
182	1760	17480
183	1763	17400
184	1765	17320
185	1768	17242
186	1770	17165
187	1775	17108
188	1778	17043
189	1782	16978
190	1786	16921
191	1791	16868
192	1794	16797
193	1797	16738
194	1800	16664
195	1802	16588
196	1804	16513
197	1806	16438
198	1809	16372
199	1811	16300
200	1813	16230
201	1815	16161
202	1821	16124
203	1826	16080
204	1830	16029
205	1834	15974
206	1837	15919
207	1839	15850
208	1844	15805
209	1846	15740
210	1848	15675
211	1851	15613
212	1854	15554
213	1857	15500
214	1861	15455
215	1863	15390
216	1866	15336
217	1868	15271
218	1870	15208
219	1872	15151
220	1875	15101
221	1878	15047
222	1883	15008
223	1887	14963
224	1892	14927
225	1898	14900
226	1902	14856
227	1907	14823
228	1911	14781
229	1914	14732
230	1918	14691
231	1923	14661
232	1927	14618
233	1930	14569
234	1931	14510
235	1933	14452
236	1935	14399
237	1938	14354
238	1941	14305
239	1944	14258
240	1946	14203
241	1948	14151
242	1949	14096
243	1952	14053
244	1956	14013
245	1958	13965
246	1961	13923
247	1963	13868
248	1964	13813
249	1965	13760
250	1967	13707
251	1968	13654
252	1969	13602
253	1971	13550
254	1972	13498
255	1973	13447
256	1975	13396
257	1976	13346
258	1978	13296
259	1979	13246
260	1980	13197
261	1982	13149
262	1984	13107
263	1986	13060
264	1987	13013
265	1989	12968
266	1991	12929
267	1993	12882
268	1994	12837
269	1996	12792
270	1997	12745
271	1999	12700
272	2000	12655
273	2002	12612
274	2005	12578
275	2007	12541
276	2010	12503
277	2013	12473
278	2015	12431
279	2018	12399
280	2022	12375
281	2024	12336
282	2030	12319
283	2033	12287
284	2035	12247
285	2037	12211
286	2039	12170
287	2040	12129
288	2041	12088
289	2043	12049
290	2044	12009
291	2046	11968
292	2047	11928
293	2048	11888
294	2050	11850
295	2051	11810
296	2053	11772
297	2054	11733
298	2055	11694
299	2057	11656
300	2058	11618
301	2059	11580
302	2062	11554
303	2064	11519
304	2066	11483
305	2067	11446
306	2069	11410
307	2070	11373
308	2071	11338
309	2073	11303
310	2074	11268
311	2076	11232
312	2077	11197
313	2079	11164
314	2081	11132
315	2082	11097
316	2083	11063
317	2085	11028
318	2088	11007
319	2090	10973
320	2091	10940
321	2092	10906
322	2097	10887
323	2100	10864
324	2105	10851
325	2107	10824
326	2109	10792
327	2111	10761
328	2112	10730
329	2118	10719
330	2121	10697
331	2124	10672
332	2127	10649
333	2130	10625
334	2133	10604
335	2135	10574
336	2136	10543
337	2137	10512
338	2139	10482
339	2141	10457
340	2144	10434
341	2148	10414
342	2149	10385
343	2151	10356
344	2152	10327
345	2154	10298
346	2155	10269
347	2157	10241
348	2160	10218
349	2161	10191
350	2166	10177
351	2169	10156
352	2172	10135
353	2174	10112
354	2176	10085
355	2179	10065
356	2181	10038
357	2182	10010
358	2184	9984
359	2185	9956
360	2186	9928
361	2188	9902
362	2189	9875
363	2191	9849
364	2193	9823
365	2197	9808
366	2200	9791
367	2201	9764
368	2203	9739
369	2205	9715
370	2206	9689
371	2208	9664
372	2209	9638
373	2211	9614
374	2212	9589
375	2214	9564
376	2215	9539
377	2217	9516
378	2219	9494
379	2221	9470
380	2222	9445
381	2224	9419
382	2225	9394
383	2226	9369
384	2227	9345
385	2229	9324
386	2231	9300
387	2232	9276
388	2234	9252
389	2235	9229
390	2236	9205
391	2238	9181
392	2239	9158
393	2240	9134
394	2242	9112
395	2244	9089
396	2245	9066
397	2246	9043
398	2249	9025
399	2251	9004
400	2252	8983
401	2254	8960
402	2256	8942
403	2258	8920
404	2264	8917
405	2267	8902
406	2272	8892
407	2274	8874
408	2276	8853
409	2278	8834
410	2283	8828
411	2288	8819
412	2294	8815
413	2296	8797
414	2299	8781
415	2303	8769
416	2306	8756
417	2309	8742
418	2312	8726
419	2315	8709
420	2317	8693
421	2320	8675
422	2322	8657
423	2325	8643
424	2327	8626
425	2329	8607
426	2333	8595
427	2336	8580
428	2338	8565
429	2340	8547
430	2344	8535
431	2348	8523
432	2351	8509
433	2354	8495
434	2356	8476
435	2357	8456
436	2358	8436
437	2360	8417
438	2361	8396
439	2362	8376
440	2364	8358
441	2365	8338
442	2367	8319
443	2368	8300
444	2369	8281
445	2371	8263
446	2372	8244
447	2374	8225
448	2375	8207
449	2377	8188
450	2378	8169
451	2380	8151
452	2381	8133
453	2383	8114
454	2384	8097
455	2386	8079
456	2388	8063
457	2389	8045
458	2391	8027
459	2392	8008
460	2393	7990
461	2395	7973
462	2396	7955
463	2397	7937
464	2399	7919
465	2400	7901
466	2401	7883
467	2402	7865
468	2404	7848
469	2405	7830
470	2406	7813
471	2408	7797
472	2413	7790
473	2416	7778
474	2418	7765
475	2422	7757
476	2425	7744
477	2427	7730
478	2430	7716
479	2431	7699
480	2432	7683
481	2434	7666
482	2435	7650
483	2437	7634
484	2438	7618
485	2440	7602
486	2441	7586
487	2443	7569
488	2444	7554
489	2446	7538
490	2447	7523
491	2449	7506
492	2450	7491
493	2452	7476
494	2453	7460
495	2455	7445
496	2457	7431
497	2458	7416
498	2460	7400
499	2461	7384
500	2462	7368
501	2465	7358
502	2467	7344
503	2469	7329
504	2471	7315
505	2473	7301
506	2474	7287
507	2476	7273
508	2478	7258
509	2479	7244
510	2481	7230
511	2483	7216
512	2484	7201
513	2486	7188
514	2487	7173
515	2489	7159
516	2490	7144
517	2492	7129
518	2493	7115
519	2496	7104
520	2498	7091
521	2502	7086
522	2504	7073
523	2506	7060
524	2509	7050
525	2512	7039
526	2513	7024
527	2514	7010
528	2516	6996
529	2517	6982
530	2518	6968
531	2520	6953
532	2521	6939
533	2522	6925
534	2523	6911
535	2525	6897
536	2526	6883
537	2528	6870
538	2529	6856
539	2530	6842
540	2532	6829
541	2534	6817
542	2536	6805
543	2537	6792
544	2539	6779
545	2540	6766
546	2542	6752
547	2543	6739
548	2544	6726
549	2546	6712
550	2547	6699
551	2548	6686
552	2550	6673
553	2551	6659
554	2552	6646
555	2554	6633
556	2555	6620
557	2556	6607
558	2558	6594
559	2559	6581
560	2560	6568
561	2562	6556
562	2563	6543
563	2564	6530
564	2566	6518
565	2567	6505
566	2569	6492
567	2573	6488
568	2576	6480
569	2580	6472
570	2581	6461
571	2584	6451
572	2587	6443
573	2590	6436
574	2592	6424
575	2594	6413
576	2596	6402
577	2597	6391
578	2599	6378
579	2600	6367
580	2602	6355
581	2603	6342
582	2604	6330
583	2606	6319
584	2607	6307
585	2609	6295
586	2610	6283
587	2611	6271
588	2613	6260
589	2614	6248
590	2616	6237
591	2617	6225
592	2619	6214
593	2620	6203
594	2622	6192
595	2623	6181
596	2625	6169
597	2626	6158
598	2629	6149
599	2630	6138
600	2632	6127
601	2633	6115
602	2634	6104
603	2637	6095
604	2640	6088
605	2643	6081
606	2646	6073
607	2648	6062
608	2650	6053
609	2651	6042
610	2654	6034
611	2657	6027
612	2659	6017
613	2661	6007
614	2662	5996
615	2664	5986
616	2667	5979
617	2670	5971
618	2673	5964
619	2674	5953
620	2676	5942
621	2677	5931
622	2678	5920
623	2680	5910
624	2681	5899
625	2682	5888
626	2684	5878
627	2685	5867
628	2686	5856
629	2688	5846
630	2689	5835
631	2691	5826
632	2693	5816
633	2694	5805
634	2695	5795
635	2697	5784
636	2698	5773
637	2699	5763
638	2701	5753
639	2702	5742
640	2704	5733
641	2705	5723
642	2707	5713
643	2709	5704
644	2710	5695
645	2712	5684
646	2713	5674
647	2715	5664
648	2716	5654
649	2717	5644
650	2719	5634
651	2720	5624
652	2722	5614
653	2723	5605
654	2727	5600
655	2729	5591
656	2730	5581
657	2731	5571
658	2733	5562
659	2734	5552
660	2736	5542
661	2737	5533
662	2739	5524
663	2741	5515
664	2743	5506
665	2744	5497
666	2746	5488
667	2747	5479
668	2750	5472
669	2752	5463
670	2756	5459
671	2759	5454
672	2761	5445
673	2764	5438
674	2768	5433
675	2769	5424
676	2771	5415
677	2772	5406
678	2774	5397
679	2775	5387
680	2776	5378
681	2777	5368
682	2779	5359
683	2780	5350
684	2781	5340
685	2783	5331
686	2784	5322
687	2785	5312
688	2787	5303
689	2788	5294
690	2790	5285
691	2791	5276
692	2792	5267
693	2794	5258
694	2795	5249
695	2798	5242
696	2800	5234
697	2801	5225
698	2802	5216
699	2804	5207
700	2805	5199
701	2807	5190
702	2809	5183
703	2811	5175
704	2812	5166
705	2814	5157
706	2815	5149
707	2817	5141
708	2818	5132
709	2820	5123
710	2822	5117
711	2824	5109
712	2826	5101
713	2828	5095
714	2831	5088
715	2834	5083
716	2837	5077
717	2838	5068
718	2840	5060
719	2841	5051
720	2844	5046
721	2847	5040
722	2849	5032
723	2852	5027
724	2856	5024
725	2858	5015
726	2861	5010
727	2864	5004
728	2865	4995
729	2866	4987
730	2868	4979
731	2869	4971
732	2871	4962
733	2872	4954
734	2873	4946
735	2875	4937
736	2876	4929
737	2877	4921
738	2879	4913
739	2880	4904
740	2882	4896
741	2883	4888
742	2884	4880
743	2886	4872
744	2887	4864
745	2888	4855
746	2890	4847
747	2891	4839
748	2892	4831
749	2894	4823
750	2895	4815
751	2896	4807
752	2898	4800
753	2900	4793
754	2902	4785
755	2903	4777
756	2905	4770
757	2906	4763
758	2908	4755
759	2909	4747
760	2911	4739
761	2913	4733
762	2915	4726
763	2919	4723
764	2922	4717
765	2923	4710
766	2929	4709
767	2931	4702
768	2932	4694
769	2934	4687
770	2936	4680
771	2937	4672
772	2938	4665
773	2940	4657
774	2941	4650
775	2943	4642
776	2944	4635
777	2946	4627
778	2947	4620
779	2949	4612
780	2950	4605
781	2951	4597
782	2953	4590
783	2954	4582
784	2956	4575
785	2957	4568
786	2959	4561
787	2960	4553
788	2962	4546
789	2963	4539
790	2964	4531
791	2966	4524
792	2967	4517
793	2969	4509
794	2970	4502
795	2971	4495
796	2973	4487
797	2975	4481
798	2977	4475
799	2978	4467
800	2979	4460
801	2980	4452
802	2982	4445
803	2983	4438
804	2985	4431
805	2986	4424
806	2989	4419
807	2991	4412
808	2994	4408
809	2997	4403
810	2998	4396
811	3001	4391
812	3003	4384
813	3005	4378
814	3006	4372
815	3008	4365
816	3009	4358
817	3011	4351
818	3014	4346
819	3015	4339
820	3016	4332
821	3018	4325
822	3019	4318
823	3021	4312
824	3022	4305
825	3024	4298
826	3025	4291
827	3026	4284
828	3028	4277
829	3029	4270
830	3032	4266
831	3034	4260
832	3036	4253
833	3037	4247
834	3039	4240
835	3040	4233
836	3041	4226
837	3043	4219
838	3044	4213
839	3045	4206
840	3047	4199
841	3048	4192
842	3050	4186
843	3051	4179
844	3052	4172
845	3053	4165
846	3055	4158
847	3056	4152
848	3057	4145
849	3059	4138
850	3060	4132
851	3061	4125
852	3063	4118
853	3066	4114
854	3068	4109
855	3070	4103
856	3071	4096
857	3072	4090
858	3075	4085
859	3077	4079
860	3083	4078
861	3085	4073
862	3088	4069
863	3092	4065
864	3094	4060
865	3096	4055
866	3101	4052
867	3102	4046
868	3104	4040
869	3105	4033
870	3107	4027
871	3108	4021
872	3109	4014
873	3111	4008
874	3112	4001
875	3114	3995
876	3115	3989
877	3116	3983
878	3118	3976
879	3119	3970
880	3121	3964
881	3122	3958
882	3123	3951
883	3125	3945
884	3126	3939
885	3128	3932
886	3129	3926
887	3130	3920
888	3132	3914
889	3133	3908
890	3135	3902
891	3136	3895
892	3137	3889
893	3139	3883
894	3140	3877
895	3142	3871
896	3144	3867
897	3146	3861
898	3147	3855
899	3149	3849
900	3152	3844
901	3154	3839
902	3155	3834
903	3157	3828
904	3160	3823
905	3162	3818
906	3164	3813
907	3166	3808
908	3168	3802
909	3170	3797
910	3171	3791
911	3173	3785
912	3174	3779
913	3177	3775
914	3180	3771
915	3181	3765
916	3183	3759
917	3184	3753
918	3186	3747
919	3187	3742
920	3189	3736
921	3190	3730
922	3192	3724
923	3193	3719
924	3195	3713
925	3196	3707
926	3198	3701
927	3199	3696
928	3201	3690
929	3202	3684
930	3204	3678
931	3205	3673
932	3207	3667
933	3208	3662
934	3210	3656
935	3211	3650
936	3213	3645
937	3214	3639
938	3216	3634
939	3217	3628
940	3219	3622
941	3220	3617
942	3222	3611
943	3223	3606
944	3225	3600
945	3226	3595
946	3228	3590
947	3232	3586
948	3234	3581
949	3236	3576
950	3238	3572
951	3239	3566
952	3240	3560
953	3242	3554
954	3243	3549
955	3245	3543
956	3246	3538
957	3247	3532
958	3249	3527
959	3250	3521
960	3251	3515
961	3253	3510
962	3254	3504
963	3255	3498
964	3257	3493
965	3258	3487
966	3259	3482
967	3261	3476
968	3262	3471
969	3263	3465
970	3264	3459
971	3266	3454
972	3267	3449
973	3269	3443
974	3270	3438
975	3271	3432
976	3272	3427
977	3274	3421
978	3275	3416
979	3276	3410
980	3278	3405
981	3279	3399
982	3280	3394
983	3281	3388
984	3283	3383
985	3284	3377
986	3286	3372
987	3287	3367
988	3288	3362
989	3290	3356
990	3291	3351
991	3292	3346
992	3294	3340
993	3295	3335
994	3297	3330
995	3298	3325
996	3300	3319
997	3301	3314
998	3303	3310
999	3306	3306
1000	3309	3302
1001	3310	3297
1002	3312	3292
1003	3316	3289
1004	3320	3287
1005	3324	3284
1006	3327	3281
1007	3330	3277
1008	3331	3272
1009	3333	3267
1010	3334	3262
1011	3336	3257
1012	3337	3252
1013	3340	3248
1014	3342	3243
1015	3344	3238
1016	3345	3233
1017	3346	3228
1018	3349	3224
1019	3351	3220
1020	3353	3215
1021	3354	3210
1022	3355	3205
1023	3357	3200
1024	3359	3195
1025	3362	3192
1026	3364	3187
1027	3367	3183
1028	3368	3178
1029	3370	3173
1030	3371	3168
1031	3373	3163
1032	3374	3158
1033	3375	3153
1034	3377	3148
1035	3379	3144
1036	3380	3139
1037	3382	3134
1038	3383	3129
1039	3385	3124
1040	3387	3120
1041	3391	3117
1042	3393	3113
1043	3396	3110
1044	3398	3105
1045	3399	3100
1046	3401	3095
1047	3402	3091
1048	3404	3086
1049	3406	3082
1050	3408	3077
1051	3411	3074
1052	3414	3070
1053	3415	3065
1054	3418	3061
1055	3419	3056
1056	3420	3052
1057	3422	3047
1058	3423	3042
1059	3424	3037
1060	3426	3032
1061	3427	3027
1062	3431	3024
1063	3433	3020
1064	3434	3015
1065	3435	3010
1066	3437	3005
1067	3438	3000
1068	3439	2995
1069	3441	2990
1070	3442	2986
1071	3443	2981
1072	3445	2976
1073	3446	2971
1074	3447	2966
1075	3449	2961
1076	3450	2957
1077	3451	2952
1078	3453	2947
1079	3454	2942
1080	3455	2938
1081	3457	2933
1082	3458	2928
1083	3459	2923
1084	3461	2918
1085	3462	2914
1086	3463	2909
1087	3466	2906
1088	3468	2901
1089	3471	2898
1090	3473	2894
1091	3475	2889
1092	3477	2886
1093	3480	2882
1094	3483	2878
1095	3488	2877
1096	3491	2874
1097	3493	2869
1098	3494	2865
1099	3500	2863
1100	3507	2863
1101	3514	2864
1102	3519	2862
1103	3526	2861
1104	3529	2858
1105	3532	2855
1106	3536	2852
1107	3542	2851
1108	3545	2848
1109	3549	2845
1110	3550	2841
1111	3552	2836
1112	3555	2833
1113	3557	2829
1114	3559	2824
1115	3560	2820
1116	3562	2816
1117	3563	2811
1118	3565	2806
1119	3567	2802
1120	3568	2798
1121	3570	2793
1122	3571	2789
1123	3576	2787
1124	3579	2784
1125	3584	2782
1126	3586	2778
1127	3587	2773
1128	3591	2770
1129	3593	2767
1130	3595	2762
1131	3597	2758
1132	3598	2754
1133	3600	2749
