name_x,team_x,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,position_x,conference,2026_wAV_Predictions
Trinidad Chambliss,Ole Miss,22.63438705,3.994239864,-1.263367875,-0.649180393,-2.218989705,4.008038937,-2.970553366,0.97173954,-1.528494099,-1.452560405,-0.36687178,QB,SEC,5.928689291
Diego Pavia,Vanderbilt,24.42807141,2.504992493,1.253079308,0.404239702,1.146298764,4.823064293,-2.232009886,0.867484291,-2.157733244,-0.911022408,-0.222395037,QB,SEC,5.016850131
Elijah Sarratt,Indiana,1.708794384,8.959955656,1.652081968,-4.311928108,-0.325519005,0.050821697,1.125592187,0.266300636,-0.210734563,-0.104840595,-0.442021402,WR,B1G,4.52821548
Caleb Hawkins,North Texas,8.526971531,-0.172556284,12.9331993,-0.14837412,3.080164671,1.499033894,-1.812074135,1.913316376,-2.719321373,0.116266868,-0.600226896,RB,AAC,4.523200382
Kevin Concepcion,Texas A&M,2.009713137,4.600208796,2.601606612,-3.765816864,1.678019038,1.543689741,2.118833291,0.960358961,1.994184076,0.04424329,-0.208675208,WR,SEC,4.138336856
Malachi Toney,Miami,3.926148523,5.972093283,1.934154363,-6.162426184,4.210074652,0.507532439,4.700384691,0.436574278,-1.205930016,0.8959959,-3.238839957,WR,ACC,3.867230854
Darian Mensah,Duke,22.50637557,3.501326023,-5.589618803,-0.116420985,6.162216276,8.154750561,-1.581196379,-1.58835301,-1.542297498,-1.251348284,0.480135548,QB,ACC,3.815435572
Jeremiah Smith,Ohio State,3.625939238,10.04118296,3.592525186,-6.003625638,0.079069445,1.698111918,3.431151196,-0.408962405,0.140898714,-0.058816211,-0.374148296,WR,B1G,3.564031513
Omar Cooper Jr.,Indiana,0.272521619,7.241849762,1.347269626,-2.557634132,-0.065122535,-0.058073152,0.689567563,0.313665707,-0.249784488,0.209268852,-0.289728806,WR,B1G,3.532849151
Nicholas Singleton,Penn State,3.883365685,-0.924953391,7.193076995,-0.582584909,-0.632517487,-0.95386137,-0.656770117,0.824314719,-0.542339226,0.485979364,-0.241767483,RB,B1G,3.47686605
Griffin Wilde,Northwestern,1.300325893,5.537216971,1.384749872,-4.447310879,-0.116022883,-0.40838787,1.996419668,-0.643866509,0.661003745,0.180403635,-0.169616116,WR,B1G,3.32597002
Kaytron Allen,Penn State,5.119732102,-2.50536633,8.283197882,0.577020375,0.533576937,0.239256441,-1.217416876,1.035119392,-1.185661244,0.797163713,-0.441839955,RB,B1G,3.201853947
Byrd Ficklin,Utah,3.011522847,-1.565508804,3.22636348,2.999418023,2.374339435,2.733734786,1.817699186,1.211075711,-2.240283275,-1.791106697,-2.419726707,QB,B12,3.130894944
