season,week,rank,team_id,school,points,first_place_votes
2014,16,1,333,Alabama,1452,27
2014,16,2,52,Florida State,1436,25
2014,16,3,2483,Oregon,1426,8
2014,16,4,239,Baylor,1265,0
2014,16,5,194,Ohio State,1262,0
2014,16,6,2628,TCU,1257,0
2014,16,7,127,Michigan State,1105,0
2014,16,8,344,Mississippi State,1070,0
2014,16,9,145,Ole Miss,976,0
2014,16,10,59,Georgia Tech,876,0
2014,16,11,2306,Kansas State,875,0
2014,16,12,12,Arizona,819,0
2014,16,13,61,Georgia,745,0
2014,16,14,26,UCLA,663,0
2014,16,15,9,Arizona State,602,0
2014,16,16,142,Missouri,599,0
2014,16,17,275,Wisconsin,542,0
2014,16,18,228,Clemson,509,0
2014,16,19,2,Auburn,450,0
2014,16,20,97,Louisville,406,0
2014,16,21,68,Boise State,368,0
2014,16,22,99,LSU,221,0
2014,16,23,254,Utah,134,0
2014,16,24,30,USC,112,0
2014,16,25,158,Nebraska,79,0
2015,15,1,228,Clemson,1510,51
2015,15,2,333,Alabama,1465,9
2015,15,3,127,Michigan State,1382,1
2015,15,4,201,Oklahoma,1376,0
2015,15,5,24,Stanford,1221,0
2015,15,6,2294,Iowa,1214,0
2015,15,7,194,Ohio State,1208,0
2015,15,8,87,Notre Dame,1070,0
2015,15,9,52,Florida State,972,0
2015,15,10,153,North Carolina,949,0
2015,15,11,2628,TCU,936,0
2015,15,12,77,Northwestern,776,0
2015,15,13,197,Oklahoma State,767,0
2015,15,14,248,Houston,710,0
2015,15,15,2483,Oregon,685,0
2015,15,16,145,Ole Miss,656,0
2015,15,17,130,Michigan,578,0
2015,15,18,239,Baylor,426,0
2015,15,19,57,Florida,420,0
2015,15,20,254,Utah,323,0
2015,15,21,2426,Navy,271,0
2015,15,22,99,LSU,270,0
2015,15,23,275,Wisconsin,197,0
2015,15,24,218,Temple,94,0
2015,15,25,98,Western Kentucky,70,0
2016,15,1,333,Alabama,1525,61
2016,15,2,194,Ohio State,1444,0
2016,15,3,228,Clemson,1396,0
2016,15,4,264,Washington,1329,0
2016,15,5,213,Penn State,1252,0
2016,15,6,130,Michigan,1249,0
2016,15,7,201,Oklahoma,1173,0
2016,15,8,275,Wisconsin,1054,0
2016,15,9,30,USC,1040,0
2016,15,10,52,Florida State,889,0
2016,15,11,38,Colorado,886,0
2016,15,12,2711,Western Michigan,871,0
2016,15,13,197,Oklahoma State,800,0
2016,15,14,277,West Virginia,788,0
2016,15,15,97,Louisville,542,0
2016,15,16,24,Stanford,508,0
2016,15,17,2,Auburn,493,0
2016,15,18,259,Virginia Tech,372,0
2016,15,19,99,LSU,351,0
2016,15,20,57,Florida,331,0
2016,15,21,2294,Iowa,272,0
2016,15,22,221,Pittsburgh,237,0
2016,15,23,218,Temple,229,0
2016,15,24,158,Nebraska,196,0
2016,15,25,58,South Florida,173,0
2017,15,1,228,Clemson,1506,43
2017,15,2,201,Oklahoma,1474,18
2017,15,3,61,Georgia,1409,0
2017,15,4,333,Alabama,1307,0
2017,15,5,194,Ohio State,1300,0
2017,15,6,275,Wisconsin,1162,0
2017,15,7,2,Auburn,1123,0
2017,15,8,30,USC,1101,0
2017,15,9,213,Penn State,1008,0
2017,15,10,2116,UCF,983,0
2017,15,11,2390,Miami,948,0
2017,15,12,264,Washington,820,0
2017,15,13,2628,TCU,816,0
2017,15,14,87,Notre Dame,632,0
2017,15,15,24,Stanford,629,0
2017,15,16,99,LSU,599,0
2017,15,17,197,Oklahoma State,549,0
2017,15,18,127,Michigan State,487,0
2017,15,19,235,Memphis,475,0
2017,15,20,77,Northwestern,398,0
2017,15,21,265,Washington State,342,0
2017,15,22,259,Virginia Tech,323,0
2017,15,23,58,South Florida,115,0
2017,15,24,344,Mississippi State,103,0
