iter	Passed	Remaining
0	1	2921
1	2	2746
2	4	2716
3	5	2693
4	6	2667
5	7	2652
6	9	2636
7	10	2638
8	11	2623
9	13	2616
10	14	2614
11	15	2609
12	17	2606
13	18	2602
14	19	2597
15	20	2596
16	22	2591
17	23	2589
18	24	2589
19	26	2589
20	29	2744
21	31	2866
22	33	2854
23	34	2841
24	35	2834
25	37	2824
26	38	2813
27	39	2804
28	41	2799
29	42	2790
30	43	2781
31	45	2775
32	46	2767
33	47	2723
34	48	2718
35	49	2713
36	51	2707
37	52	2714
38	53	2693
39	54	2688
40	56	2712
41	58	2707
42	59	2703
43	60	2699
44	62	2695
45	63	2691
46	64	2686
47	65	2680
48	67	2675
49	68	2672
50	69	2667
51	71	2675
52	73	2707
53	74	2691
54	75	2687
55	76	2671
56	78	2667
57	79	2677
58	82	2714
59	85	2750
60	89	2839
61	92	2889
62	99	3046
63	102	3088
64	104	3103
65	104	3074
66	106	3065
67	107	3059
68	110	3082
69	112	3105
70	115	3143
71	117	3149
72	118	3139
73	121	3169
74	124	3199
75	127	3218
76	129	3240
77	132	3259
78	134	3261
79	135	3250
80	136	3239
81	138	3237
82	141	3258
83	143	3275
84	146	3295
85	149	3318
86	150	3307
87	152	3313
88	154	3313
89	156	3317
90	158	3320
91	161	3348
92	164	3381
93	168	3419
94	171	3442
95	172	3430
96	174	3419
97	175	3407
98	176	3396
99	178	3385
100	179	3374
101	180	3364
102	182	3354
103	183	3343
104	184	3333
105	186	3323
106	187	3322
107	189	3324
108	191	3321
109	192	3311
110	194	3302
111	195	3293
112	196	3284
113	197	3275
114	199	3266
115	200	3257
116	201	3249
117	203	3240
118	204	3232
119	205	3224
120	207	3215
121	208	3208
122	209	3201
123	210	3188
124	212	3181
125	213	3173
126	214	3166
127	215	3158
128	217	3152
129	218	3145
130	219	3138
131	221	3131
132	222	3124
133	223	3117
134	225	3112
135	226	3105
136	227	3099
137	229	3092
138	230	3085
139	231	3080
140	233	3073
141	234	3068
142	235	3062
143	237	3056
144	238	3050
145	239	3044
146	241	3039
147	242	3033
148	243	3027
149	245	3021
150	246	3015
151	247	3009
152	248	3003
153	251	3014
154	253	3023
155	255	3025
156	257	3020
157	258	3015
158	259	3005
159	260	2999
160	262	2994
161	263	2988
162	264	2979
163	265	2973
164	266	2967
165	268	2962
166	269	2956
167	270	2951
168	272	2946
169	273	2941
170	274	2936
171	275	2930
172	277	2925
173	278	2921
174	279	2916
175	280	2912
176	282	2907
177	283	2903
178	284	2898
179	286	2893
180	287	2888
181	288	2884
182	290	2879
183	291	2874
184	292	2870
185	293	2866
186	295	2862
187	296	2857
188	297	2854
189	299	2856
190	301	2857
191	303	2858
192	305	2859
193	306	2855
194	307	2850
195	309	2846
196	310	2842
197	311	2838
198	313	2834
199	314	2830
200	315	2825
201	317	2821
202	318	2817
203	319	2813
204	320	2810
205	322	2806
206	323	2802
207	324	2798
208	326	2794
209	327	2792
210	328	2789
211	330	2785
212	331	2782
213	333	2785
214	335	2783
215	336	2779
216	337	2776
217	339	2772
218	340	2769
219	341	2765
220	343	2761
221	344	2757
222	345	2754
223	346	2750
224	348	2747
225	349	2743
226	350	2740
227	352	2740
228	354	2737
229	355	2734
230	356	2731
231	357	2727
232	359	2724
233	362	2735
234	365	2745
235	367	2747
236	368	2743
237	370	2740
238	371	2736
239	372	2733
240	374	2729
241	375	2726
242	376	2723
243	379	2727
244	380	2724
245	381	2721
246	382	2717
247	384	2714
248	385	2711
249	386	2707
250	388	2704
251	389	2700
252	390	2697
253	391	2694
254	393	2690
255	394	2687
256	395	2682
257	396	2678
258	399	2687
259	401	2686
260	403	2690
261	405	2686
262	406	2683
263	407	2680
264	408	2677
265	410	2675
266	411	2672
267	413	2669
268	414	2666
269	415	2663
270	417	2664
271	418	2661
272	420	2661
273	422	2658
274	423	2655
275	425	2657
276	427	2657
277	428	2654
278	429	2651
279	431	2647
280	432	2644
281	433	2641
282	434	2638
283	436	2635
284	438	2639
285	440	2637
286	442	2639
287	443	2636
288	444	2633
289	446	2630
290	447	2627
291	448	2624
292	450	2623
293	452	2625
294	454	2626
295	455	2624
296	457	2622
297	458	2619
298	459	2616
299	461	2613
300	462	2610
301	465	2615
302	467	2619
303	469	2616
304	470	2614
305	471	2610
306	472	2607
307	474	2604
308	475	2601
309	476	2598
310	477	2595
311	479	2592
312	480	2589
313	482	2592
314	485	2595
315	488	2602
316	490	2603
317	492	2606
318	494	2607
319	497	2610
320	506	2651
321	514	2682
322	518	2690
323	521	2696
324	523	2699
325	526	2703
326	529	2709
327	536	2735
328	539	2738
329	541	2741
330	543	2742
331	546	2744
332	548	2745
333	550	2747
334	552	2748
335	555	2750
