iter	GammaRMSEMetric
0	3.908522036
1	3.894541918
2	3.880614901
3	3.866442524
4	3.852150893
5	3.837707414
6	3.823238044
7	3.808785609
8	3.79422383
9	3.779705303
10	3.764953301
11	3.749995898
12	3.735131835
13	3.720359541
14	3.705466624
15	3.690193865
16	3.675213374
17	3.660536793
18	3.645447967
19	3.630670662
20	3.615721704
21	3.600858121
22	3.58607177
23	3.571124307
24	3.556247575
25	3.541251028
26	3.52677701
27	3.512327265
28	3.498143611
29	3.483972969
30	3.47009854
31	3.455785577
32	3.441492482
33	3.427559862
34	3.414167899
35	3.400783056
36	3.387113213
37	3.373182058
38	3.359522236
39	3.346149115
40	3.333195125
41	3.319615281
42	3.306717017
43	3.294199561
44	3.282077803
45	3.269012049
46	3.256413379
47	3.244409631
48	3.232347049
49	3.220010853
50	3.20818318
51	3.1956796
52	3.183429163
53	3.171595311
54	3.16079397
55	3.149623712
56	3.139329113
57	3.129830826
58	3.119702937
59	3.110272467
60	3.100102089
61	3.090773525
62	3.080361729
63	3.070746398
64	3.06141598
65	3.052264726
66	3.043798133
67	3.034993794
68	3.026541632
69	3.017326542
70	3.008645063
71	3.000372633
72	2.991786182
73	2.983264387
74	2.975818373
75	2.968107881
76	2.9600645
77	2.952585615
78	2.943769249
79	2.936288827
80	2.928997938
81	2.921529484
82	2.915380639
83	2.908985032
84	2.902745718
85	2.895350207
86	2.887985339
87	2.882191359
88	2.876690591
89	2.87054505
90	2.863962327
91	2.858433036
92	2.854301787
93	2.849653263
94	2.84555002
95	2.840603831
96	2.835616653
97	2.830947402
98	2.825947636
99	2.820464021
100	2.815166935
101	2.811289512
102	2.806184983
103	2.801173951
104	2.796548985
105	2.791639562
106	2.787169589
107	2.781110915
108	2.777482029
109	2.773960282
110	2.768953375
111	2.765773556
112	2.761745312
113	2.757476194
114	2.753351692
115	2.749646927
116	2.745669821
117	2.74046009
118	2.737848371
119	2.733787514
120	2.730747093
121	2.727320067
122	2.725036994
123	2.721855839
124	2.719486103
125	2.714834362
126	2.709939002
127	2.70572992
128	2.702448365
129	2.699492225
130	2.694798697
131	2.692026475
132	2.686906987
133	2.683381817
