iter	RMSE	Tweedie:variance_power=1.3046252177988344
0	3.819350875	9.43075646
1	3.816388762	9.42339811
2	3.813184101	9.415263402
3	3.810278481	9.408181096
4	3.807233965	9.400597271
5	3.804366606	9.393563043
6	3.801348475	9.386060538
7	3.79835348	9.378750315
8	3.795475251	9.371691852
9	3.792773912	9.365135278
10	3.789833933	9.358106235
11	3.786947215	9.351053554
12	3.78414394	9.344306539
13	3.78113025	9.337060713
14	3.77838886	9.330459698
15	3.77552804	9.323632683
16	3.772639631	9.316784206
17	3.769848274	9.310570588
18	3.767207248	9.304161883
19	3.764506368	9.297805643
20	3.761708687	9.291049523
21	3.759001672	9.284817915
22	3.756248857	9.27827553
23	3.753329551	9.271322808
24	3.75072389	9.265109337
25	3.747873157	9.258453283
26	3.745288155	9.252554364
27	3.742683306	9.246536672
28	3.739999413	9.240793962
29	3.737274669	9.234500322
30	3.734814785	9.228915893
31	3.732091961	9.223169854
32	3.72957016	9.217373872
33	3.726908054	9.211530716
34	3.724422186	9.20580581
35	3.721925815	9.200233328
36	3.719481306	9.194934403
37	3.717040775	9.189665612
38	3.714651513	9.184299492
39	3.712272945	9.179179712
40	3.709779201	9.173804769
41	3.707347668	9.168456263
42	3.705059963	9.163504171
43	3.702699292	9.158266233
44	3.700355839	9.153072661
45	3.697994488	9.147891067
46	3.695682463	9.142843027
47	3.693328491	9.137679096
48	3.691039317	9.132862821
49	3.688591246	9.127578398
50	3.6861675	9.12258155
51	3.684052734	9.118146014
52	3.681720736	9.113061362
53	3.67933754	9.108316721
54	3.677097551	9.103754228
55	3.674924186	9.099317491
56	3.672682399	9.094865077
57	3.670431552	9.090239047
58	3.668147467	9.085370305
59	3.665955938	9.080824803
60	3.663817421	9.076532741
61	3.661405987	9.071258287
62	3.659277747	9.066966118
63	3.657151817	9.062619117
64	3.655062436	9.058407165
65	3.652919819	9.054056935
66	3.650885467	9.050041016
67	3.648838082	9.045878234
68	3.646664932	9.041484138
69	3.644653197	9.037567906
70	3.642582155	9.033479758
71	3.640543674	9.029296171
72	3.638514362	9.025334688
73	3.636449712	9.021288247
74	3.634294194	9.017329125
75	3.632315948	9.013496459
76	3.630232969	9.009324507
77	3.628265512	9.005599489
78	3.626108574	9.001312983
79	3.624073261	8.997384117
80	3.622091085	8.993762395
81	3.620088625	8.990061463
82	3.618215525	8.986357599
83	3.616283611	8.982569888
84	3.61422203	8.978463851
85	3.612169309	8.974381142
86	3.610344426	8.970872262
87	3.608397408	8.967128069
88	3.606565324	8.963842277
89	3.604636961	8.960074895
90	3.602732449	8.956888721
91	3.600846443	8.953419061
92	3.598871552	8.949891116
93	3.597036167	8.946526011
94	3.595143248	8.943063637
95	3.59332387	8.939610108
96	3.591552722	8.936212269
97	3.589733566	8.933354504
98	3.587922258	8.92997019
99	3.5862146	8.926946618
100	3.584525155	8.92393936
101	3.58274322	8.920683101
102	3.581085133	8.917585557
103	3.579335261	8.914263837
104	3.577587465	8.911140239
105	3.575729547	8.907915377
106	3.574075389	8.904880082
107	3.572357792	8.901789219
108	3.570635649	8.898620681
109	3.568867675	8.895270802
110	3.567157553	8.892131602
111	3.565449546	8.889134076
112	3.563750255	8.886379124
113	3.562199141	8.883678726
114	3.560614201	8.880934894
115	3.559053406	8.878224506
116	3.557449692	8.8753481
117	3.555799891	8.872347408
118	3.554282004	8.869830387
119	3.552632689	8.866873053
120	3.550983752	8.864068201
121	3.54946484	8.861530152
122	3.547892271	8.858720069
123	3.546277273	8.855873032
